id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
93086,Male,Loyal Customer,30,Business travel,Business,2236,3,2,5,2,3,2,3,3,2,4,4,4,4,3,0,0,neutral or dissatisfied
49327,Male,Loyal Customer,57,Business travel,Business,89,2,4,4,4,4,3,4,1,1,1,2,4,1,4,0,19,neutral or dissatisfied
100104,Female,Loyal Customer,52,Business travel,Business,2411,4,4,4,4,3,5,4,3,3,3,3,5,3,5,5,6,satisfied
76977,Female,Loyal Customer,45,Business travel,Business,469,2,1,1,1,1,4,3,2,2,2,2,3,2,1,0,0,neutral or dissatisfied
70012,Female,Loyal Customer,27,Personal Travel,Eco Plus,236,4,5,4,3,5,4,3,5,5,3,1,1,4,5,3,0,neutral or dissatisfied
45014,Female,Loyal Customer,42,Personal Travel,Eco,118,2,3,2,2,3,4,4,1,1,2,1,1,1,1,91,84,neutral or dissatisfied
98718,Male,disloyal Customer,26,Business travel,Business,473,3,3,3,1,2,3,2,2,4,2,3,1,3,2,7,0,neutral or dissatisfied
48769,Male,Loyal Customer,51,Business travel,Business,308,5,5,5,5,4,4,5,4,4,4,4,3,4,5,0,0,satisfied
44862,Male,Loyal Customer,35,Personal Travel,Eco,693,2,5,2,2,3,2,3,3,3,2,4,3,4,3,18,27,neutral or dissatisfied
2052,Male,Loyal Customer,27,Business travel,Business,2341,3,3,3,3,4,4,4,4,5,4,5,3,5,4,0,0,satisfied
8478,Female,Loyal Customer,45,Business travel,Business,2084,5,5,5,5,4,4,5,4,4,4,4,5,4,2,19,22,satisfied
18934,Female,Loyal Customer,17,Personal Travel,Eco,448,1,4,1,3,2,1,1,2,4,5,4,5,4,2,0,0,neutral or dissatisfied
113293,Male,disloyal Customer,24,Business travel,Eco,386,3,0,3,3,4,3,4,4,5,4,5,5,4,4,0,0,neutral or dissatisfied
64879,Female,Loyal Customer,54,Business travel,Business,3502,1,1,1,1,5,4,4,4,4,4,4,4,4,3,8,2,satisfied
126122,Female,Loyal Customer,43,Business travel,Business,468,2,4,4,4,3,3,2,2,2,2,2,1,2,4,0,10,neutral or dissatisfied
26792,Male,Loyal Customer,59,Business travel,Eco,226,5,4,4,4,5,5,5,5,5,1,1,5,4,5,0,0,satisfied
33104,Female,Loyal Customer,36,Personal Travel,Eco,101,4,3,4,5,5,4,5,5,4,1,2,2,5,5,0,0,neutral or dissatisfied
113226,Female,disloyal Customer,54,Business travel,Business,397,5,5,5,3,5,5,3,5,4,4,4,5,4,5,2,0,satisfied
44759,Female,Loyal Customer,47,Business travel,Business,2233,5,5,5,5,1,1,2,4,4,4,4,1,4,1,20,40,satisfied
19625,Female,Loyal Customer,31,Personal Travel,Business,642,3,4,3,1,2,3,2,2,4,3,5,3,5,2,0,0,neutral or dissatisfied
102256,Female,Loyal Customer,51,Business travel,Business,258,3,2,2,2,1,2,3,3,3,3,3,3,3,4,0,0,neutral or dissatisfied
72381,Female,Loyal Customer,43,Business travel,Business,1559,3,3,3,3,4,5,5,5,5,4,5,4,5,5,0,0,satisfied
125113,Male,disloyal Customer,26,Business travel,Business,361,3,3,3,1,3,3,1,3,4,3,4,3,2,3,0,0,neutral or dissatisfied
129601,Female,Loyal Customer,51,Business travel,Business,337,1,1,1,1,2,5,5,5,5,4,5,3,5,5,0,0,satisfied
108932,Male,Loyal Customer,62,Personal Travel,Eco,1075,2,4,2,1,5,2,5,5,3,4,4,4,5,5,88,88,neutral or dissatisfied
3201,Male,Loyal Customer,16,Personal Travel,Eco,585,3,5,3,1,4,3,4,4,3,2,4,3,4,4,0,0,neutral or dissatisfied
33122,Female,Loyal Customer,52,Personal Travel,Eco,216,2,4,0,1,2,5,5,1,1,0,1,3,1,5,0,0,neutral or dissatisfied
99839,Female,Loyal Customer,56,Business travel,Business,2932,4,4,4,4,2,4,5,2,2,2,2,3,2,4,0,0,satisfied
32726,Female,disloyal Customer,38,Business travel,Eco,101,4,4,4,5,3,4,3,3,4,2,5,2,3,3,0,0,satisfied
96652,Male,Loyal Customer,32,Personal Travel,Eco,937,3,5,3,4,2,3,2,2,4,3,5,5,5,2,10,1,neutral or dissatisfied
125950,Male,Loyal Customer,18,Personal Travel,Eco,861,3,4,3,3,3,3,2,3,4,5,5,5,5,3,0,42,neutral or dissatisfied
39886,Male,Loyal Customer,68,Personal Travel,Eco,272,1,3,1,3,4,1,4,4,3,5,2,2,3,4,0,0,neutral or dissatisfied
7755,Male,Loyal Customer,10,Personal Travel,Eco,1013,1,2,1,3,3,1,3,3,1,3,3,1,3,3,0,0,neutral or dissatisfied
7348,Male,Loyal Customer,58,Business travel,Business,464,3,3,3,3,4,5,5,4,4,4,4,4,4,3,19,29,satisfied
25933,Male,Loyal Customer,70,Personal Travel,Eco,594,1,4,1,4,2,1,2,2,2,2,4,3,3,2,12,2,neutral or dissatisfied
67021,Female,Loyal Customer,25,Business travel,Business,1119,4,4,4,4,5,5,5,5,5,3,5,5,5,5,29,11,satisfied
39338,Male,Loyal Customer,33,Business travel,Business,3942,3,3,3,3,4,4,4,4,4,5,5,3,5,4,0,0,satisfied
99271,Male,Loyal Customer,49,Business travel,Business,2445,5,5,5,5,3,5,4,4,4,4,4,3,4,5,0,0,satisfied
69897,Female,Loyal Customer,46,Business travel,Business,1514,2,2,4,2,3,4,4,5,5,5,5,4,5,4,0,0,satisfied
104692,Male,Loyal Customer,53,Business travel,Business,1879,1,1,1,1,2,5,4,5,5,5,5,5,5,5,2,0,satisfied
63708,Female,Loyal Customer,52,Business travel,Business,1660,2,2,4,4,5,2,1,2,2,2,2,2,2,1,9,0,neutral or dissatisfied
9283,Female,Loyal Customer,53,Business travel,Eco,1201,3,3,3,3,2,4,4,3,3,3,3,2,3,2,0,13,neutral or dissatisfied
57966,Male,Loyal Customer,8,Personal Travel,Eco,1911,3,5,3,4,3,3,3,3,4,4,4,5,5,3,0,0,neutral or dissatisfied
24002,Male,Loyal Customer,36,Business travel,Eco,427,5,3,3,3,5,5,5,5,2,5,1,4,5,5,9,13,satisfied
24444,Female,disloyal Customer,24,Business travel,Business,481,5,0,5,5,3,5,3,3,4,4,5,3,5,3,0,0,satisfied
25812,Male,Loyal Customer,27,Business travel,Business,1747,3,3,3,3,4,4,4,4,5,1,3,3,4,4,19,26,satisfied
101502,Male,Loyal Customer,44,Business travel,Eco,345,2,2,4,2,1,2,1,1,1,1,3,1,2,1,56,48,neutral or dissatisfied
43618,Female,Loyal Customer,44,Business travel,Business,190,3,5,5,5,4,3,4,3,3,4,3,2,3,4,23,6,neutral or dissatisfied
102825,Male,Loyal Customer,45,Business travel,Business,342,5,5,5,5,4,4,5,4,4,4,4,4,4,5,0,0,satisfied
91616,Female,Loyal Customer,59,Business travel,Business,1352,2,2,2,2,4,5,4,2,2,2,2,4,2,4,0,0,satisfied
18829,Female,Loyal Customer,52,Business travel,Business,3442,3,2,2,2,4,3,4,3,3,3,3,2,3,2,0,0,neutral or dissatisfied
1105,Male,Loyal Customer,30,Personal Travel,Eco,102,2,4,2,3,4,2,4,4,3,1,5,5,2,4,0,0,neutral or dissatisfied
85903,Female,disloyal Customer,22,Business travel,Eco,761,1,1,1,4,2,1,2,2,4,2,4,2,4,2,0,0,neutral or dissatisfied
122414,Male,Loyal Customer,50,Business travel,Eco,1916,3,4,4,4,3,3,3,3,1,5,3,1,4,3,0,0,neutral or dissatisfied
33318,Male,Loyal Customer,46,Business travel,Eco,2556,5,1,1,1,5,5,5,5,4,2,5,2,4,5,0,0,satisfied
4520,Female,Loyal Customer,15,Personal Travel,Eco Plus,435,5,5,5,3,3,5,3,3,5,2,5,4,5,3,0,0,satisfied
64427,Male,Loyal Customer,35,Business travel,Business,1754,3,3,3,3,5,4,4,3,3,3,3,5,3,4,0,0,satisfied
78893,Male,Loyal Customer,45,Business travel,Business,1727,3,3,3,3,4,5,4,5,5,5,5,5,5,4,0,0,satisfied
