person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
30,68000,RENT,1,VENTURE,A,3000,5.42,0.04,N,9,0
31,110000,MORTGAGE,5,VENTURE,D,5000,14.96,0.05,Y,9,0
24,57000,MORTGAGE,3,VENTURE,A,5500,8,0.1,N,3,0
24,65000,MORTGAGE,2,EDUCATION,D,20000,14.09,0.31,Y,3,0
29,53000,MORTGAGE,3,EDUCATION,A,6000,8,0.11,N,8,0
26,66400,RENT,6,MEDICAL,A,6000,7.29,0.09,N,4,0
22,60000,MORTGAGE,6,MEDICAL,A,17500,7.88,0.29,N,4,0
27,30000,RENT,4,MEDICAL,D,2400,17.49,0.08,Y,10,1
22,166000,MORTGAGE,1,PERSONAL,B,23450,11.36,0.14,N,2,0
34,20400,MORTGAGE,6,MEDICAL,C,3300,13.06,0.16,Y,10,0
23,66000,MORTGAGE,1,EDUCATION,B,13200,11.14,0.2,N,4,0
26,53155,MORTGAGE,10,MEDICAL,A,4000,6.76,0.08,N,3,0
25,72000,OWN,5,HOMEIMPROVEMENT,E,18000,16.82,0.25,Y,2,0
29,47000,RENT,2,EDUCATION,B,7000,10.36,0.15,N,7,0
40,33000,MORTGAGE,2,MEDICAL,B,1000,11.6,0.03,N,16,0
27,45000,RENT,6,VENTURE,B,3600,12.42,0.08,N,8,0
28,70000,MORTGAGE,13,MEDICAL,A,5000,6.99,0.07,N,9,0
25,50400,MORTGAGE,5,HOMEIMPROVEMENT,A,6000,7.14,0.12,N,4,0
30,120000,MORTGAGE,12,DEBTCONSOLIDATION,B,7200,9.99,0.06,N,9,0
27,33975,MORTGAGE,5,DEBTCONSOLIDATION,B,10000,9.25,0.29,N,7,0
37,74000,RENT,7,PERSONAL,B,15000,11.71,0.2,N,11,0
27,60000,RENT,7,VENTURE,B,9600,10.65,0.16,N,7,0
28,30996,RENT,0,DEBTCONSOLIDATION,A,8000,7.29,0.26,N,10,0
30,36000,RENT,2,VENTURE,B,5000,10.75,0.14,N,5,0
25,60000,RENT,3,PERSONAL,C,12000,14.26,0.2,N,4,0
34,65000,MORTGAGE,17,PERSONAL,B,10000,11.36,0.15,N,7,0
22,27600,RENT,5,VENTURE,C,1200,13.06,0.04,N,2,0
34,80000,RENT,4,VENTURE,A,5000,11.6,0.06,N,9,0
24,78300,RENT,2,VENTURE,A,7000,6.03,0.09,N,3,0
32,30000,MORTGAGE,6,VENTURE,A,10000,7.51,0.33,N,9,0
31,123000,MORTGAGE,15,VENTURE,C,19000,13.47,0.15,Y,9,0
27,90000,MORTGAGE,12,EDUCATION,A,20000,11.6,0.22,N,6,0
33,120999,MORTGAGE,7,HOMEIMPROVEMENT,C,15200,13.61,0.13,Y,5,0
26,30000,RENT,5,VENTURE,A,14500,7.66,0.48,N,2,1
24,72000,MORTGAGE,1,EDUCATION,B,16000,10.25,0.22,N,3,0
29,66000,MORTGAGE,10,DEBTCONSOLIDATION,B,7000,9.91,0.11,N,10,0
30,65000,RENT,3,EDUCATION,C,10000,14.27,0.15,Y,7,0
25,33000,MORTGAGE,9,VENTURE,B,3000,11.99,0.09,N,3,0
31,115000,MORTGAGE,15,MEDICAL,B,10000,12.42,0.09,N,6,0
52,64500,RENT,0,PERSONAL,B,5000,11.26,0.08,N,25,0
24,44000,OWN,9,VENTURE,C,6000,15.96,0.14,Y,4,0
37,70000,MORTGAGE,2,VENTURE,B,30000,10.65,0.43,N,14,0
30,85332,RENT,3,VENTURE,C,14000,14.22,0.16,N,7,0
24,54000,MORTGAGE,8,DEBTCONSOLIDATION,A,3000,7.05,0.06,N,2,0
22,32400,MORTGAGE,5,PERSONAL,A,5000,7.49,0.15,N,3,0
30,58800,RENT,0,DEBTCONSOLIDATION,A,12000,11.6,0.2,N,10,0
34,42000,RENT,17,VENTURE,B,5000,11.6,0.12,N,5,0
43,49578,MORTGAGE,11,PERSONAL,C,16000,13.49,0.32,Y,13,0
22,47004,RENT,2,PERSONAL,A,4000,11.6,0.09,N,3,0
31,40000,MORTGAGE,5,HOMEIMPROVEMENT,B,11000,9.99,0.28,N,8,0
24,85000,MORTGAGE,8,PERSONAL,A,10400,5.79,0.12,N,4,0
26,59000,RENT,10,MEDICAL,A,20000,6.17,0.34,N,3,1
22,21996,RENT,0,MEDICAL,B,2500,11.89,0.11,N,2,0
26,34000,MORTGAGE,4,PERSONAL,A,12250,6.91,0.36,N,4,1
24,92000,RENT,1,VENTURE,C,25000,12.73,0.27,Y,4,0
34,35184,MORTGAGE,5,PERSONAL,B,5000,10.74,0.14,N,7,0
22,33600,OWN,5,PERSONAL,C,12000,13.06,0.36,Y,4,0
24,47500,MORTGAGE,3,MEDICAL,B,13750,11.71,0.29,N,4,0
25,181408,MORTGAGE,2,MEDICAL,B,14500,8.88,0.08,N,2,0
23,14664,MORTGAGE,0,DEBTCONSOLIDATION,C,6000,11.6,0.41,N,4,1
23,46932,OWN,5,EDUCATION,A,7000,5.79,0.15,N,3,0
32,46000,RENT,0,HOMEIMPROVEMENT,D,3000,16.29,0.07,N,9,1
23,57000,MORTGAGE,6,EDUCATION,D,17500,14.09,0.31,Y,3,0
33,32004,MORTGAGE,4,PERSONAL,B,6000,10.74,0.19,N,7,0
23,80000,MORTGAGE,5,VENTURE,D,20000,14.96,0.25,N,3,0
22,31224,RENT,0,EDUCATION,A,6400,9.32,0.2,N,4,0
21,61000,RENT,3,EDUCATION,B,7500,10.39,0.12,N,4,0
27,19200,OWN,3,PERSONAL,A,8000,8.9,0.42,N,8,1
23,53000,MORTGAGE,6,DEBTCONSOLIDATION,B,6000,10.65,0.11,N,3,1
24,50000,RENT,3,MEDICAL,B,8000,12.42,0.16,N,2,0
24,21000,RENT,0,DEBTCONSOLIDATION,A,5000,8.63,0.24,N,2,0
24,50000,RENT,3,PERSONAL,C,17000,13.79,0.34,N,3,1
27,34500,MORTGAGE,2,DEBTCONSOLIDATION,B,5000,9.76,0.14,N,7,0
24,150000,MORTGAGE,8,EDUCATION,B,25000,11.6,0.17,N,2,0
26,43000,MORTGAGE,9,PERSONAL,A,8800,5.42,0.2,N,3,0
23,60000,MORTGAGE,6,EDUCATION,C,7000,12.99,0.12,Y,2,0
23,44400,RENT,0,EDUCATION,B,1500,11.63,0.03,N,2,0
27,37200,RENT,4,EDUCATION,D,4000,17.27,0.11,N,9,1
31,36000,RENT,2,MEDICAL,C,3500,12.53,0.1,Y,10,0
25,49200,RENT,5,VENTURE,D,18250,14.83,0.37,N,3,1
27,104525,MORTGAGE,11,HOMEIMPROVEMENT,A,6000,7.4,0.06,N,8,0
24,54870,OWN,3,VENTURE,A,1000,8.59,0.02,N,2,0
23,75000,MORTGAGE,6,EDUCATION,A,5000,6.03,0.07,N,4,0
37,48000,MORTGAGE,3,HOMEIMPROVEMENT,A,3500,7.88,0.07,N,15,0
26,46464,MORTGAGE,1,VENTURE,B,15000,12.21,0.32,N,3,0
23,48000,RENT,7,VENTURE,B,5000,8.7,0.1,N,3,0
26,45900,MORTGAGE,10,PERSONAL,C,11500,13.79,0.25,N,4,0
25,34500,RENT,1,VENTURE,E,18250,17.04,0.53,N,3,1
38,85000,RENT,1,VENTURE,B,14400,11.99,0.17,N,14,0
24,95610,MORTGAGE,8,VENTURE,B,6000,10.99,0.06,N,4,0
26,138000,MORTGAGE,4,EDUCATION,F,18000,16.4,0.13,N,3,1
28,140000,RENT,11,HOMEIMPROVEMENT,C,25000,13.11,0.18,Y,7,0
34,50004,RENT,5,VENTURE,B,8500,9.45,0.17,N,6,0
23,42000,RENT,0,DEBTCONSOLIDATION,C,5000,11.6,0.12,Y,2,1
22,25000,MORTGAGE,4,EDUCATION,A,1800,8.49,0.07,N,2,0
29,12000,OWN,0,HOMEIMPROVEMENT,B,4500,11.14,0.38,N,6,1
32,37400,RENT,0,DEBTCONSOLIDATION,B,4000,10.38,0.11,N,7,0
32,44004,RENT,5,MEDICAL,D,2200,15.65,0.05,N,5,1
24,125000,RENT,4,VENTURE,B,11500,10.38,0.09,N,2,0
38,55000,RENT,9,HOMEIMPROVEMENT,D,3325,16.89,0.06,N,14,0
29,36000,RENT,0,MEDICAL,C,5000,11.6,0.14,Y,5,0
25,96000,RENT,2,EDUCATION,B,15000,8.88,0.16,N,2,0
22,43200,RENT,6,EDUCATION,B,4000,11.11,0.09,N,2,0
27,108000,MORTGAGE,11,EDUCATION,B,21600,11.6,0.2,N,10,0
25,39396,RENT,0,VENTURE,D,6000,15.31,0.15,Y,3,1
35,29311,RENT,5,EDUCATION,A,1000,7.49,0.03,N,9,0
34,75000,RENT,2,VENTURE,A,12000,7.29,0.16,N,8,0
24,49344,MORTGAGE,6,DEBTCONSOLIDATION,B,8500,9.99,0.17,N,4,0
22,26000,RENT,2,MEDICAL,A,3900,7.51,0.15,N,3,0
33,36000,RENT,5,PERSONAL,B,5600,11.99,0.16,N,7,1
23,42504,RENT,0,MEDICAL,B,18250,10.25,0.43,N,3,1
28,52828,MORTGAGE,6,MEDICAL,A,14500,7.29,0.27,N,7,0
22,49000,RENT,7,DEBTCONSOLIDATION,C,3000,12.23,0.06,Y,2,1
32,18000,OWN,0,VENTURE,A,4750,7.88,0.26,N,6,1
29,60000,RENT,3,DEBTCONSOLIDATION,B,8000,12.42,0.13,N,7,0
29,160000,RENT,4,VENTURE,C,35000,14.27,0.22,Y,8,0
30,28000,RENT,0,MEDICAL,B,9250,11.48,0.33,N,9,1
33,71000,RENT,17,HOMEIMPROVEMENT,D,19600,16.07,0.28,Y,6,1
24,43300,MORTGAGE,2,EDUCATION,B,24000,10.62,0.55,N,2,0
32,140000,MORTGAGE,5,HOMEIMPROVEMENT,B,20000,11.12,0.14,N,9,0
23,85000,MORTGAGE,6,EDUCATION,D,9000,12.36,0.11,Y,2,0
22,32000,RENT,2,EDUCATION,B,2000,12.53,0.06,N,2,1
21,59000,RENT,4,MEDICAL,C,5000,14.22,0.08,N,3,1
24,32000,RENT,5,EDUCATION,C,12000,13.85,0.38,N,3,1
23,21600,RENT,2,MEDICAL,D,6000,14.42,0.28,N,4,1
35,21600,RENT,1,EDUCATION,C,2500,14.35,0.12,Y,8,0
25,24000,RENT,5,PERSONAL,B,4000,11.71,0.17,N,3,0
31,284400,MORTGAGE,5,VENTURE,B,5000,11.6,0.02,N,9,0
31,33600,MORTGAGE,3,VENTURE,A,7000,7.14,0.21,N,9,0
27,70000,MORTGAGE,8,MEDICAL,A,1300,5.79,0.02,N,9,0
31,55000,MORTGAGE,0,HOMEIMPROVEMENT,B,15000,11.36,0.27,N,5,0
25,75000,MORTGAGE,2,DEBTCONSOLIDATION,C,12000,11.6,0.16,Y,3,0
32,39314,RENT,16,DEBTCONSOLIDATION,C,3000,15.23,0.08,N,7,1
26,168750,RENT,10,MEDICAL,C,24250,12.87,0.14,Y,3,0
